ORGANIZATION,CITY,STATE,AWARDS,FUNDING,YEAR
UNIVERSITY OF CENTRAL FLORIDA,ORLANDO,FL,26,9714070,2012
UNIVERSITY OF CHICAGO,CHICAGO,IL,428,186624901,2012
UNIVERSITY OF CINCINNATI,CINCINNATI,OH,186,73909608,2012
UNIVERSITY OF COLORADO,BOULDER,CO,1,1398733,2012
UNIVERSITY OF COLORADO AT BOULDER,BOULDER,CO,143,40930277,2012
UNIVERSITY OF COLORADO AT COLORADO SPGS,COLORADO SPRINGS,CO,1,160453,2012
UNIVERSITY OF COLORADO DENVER,AURORA,CO,481,179120106,2012
UNIVERSITY OF COLORADO DENVER/HSC DENVER,AURORA,CO,1,559448,2012
"University of Colorado, Denver",AURORA,CO,2,504907,2012
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,FARMINGTON,CT,127,48167992,2012
UNIVERSITY OF CONNECTICUT STORRS,STORRS-MANSFIELD,CT,69,21200096,2012
UNIVERSITY OF DAYTON,DAYTON,OH,1,341127,2012
UNIVERSITY OF DELAWARE,NEWARK,DE,48,21588353,2012
UNIVERSITY OF DENVER (COLORADO SEMINARY),DENVER,CO,14,2712759,2012
UNIVERSITY OF FLORIDA,GAINESVILLE,FL,341,126110070,2012
UNIVERSITY OF GEORGIA (UGA),ATHENS,GA,114,39381714,2012
UNIVERSITY OF GUAM,MANGILAO,GU,1,1320045,2012
UNIVERSITY OF HAWAII AT HILO,HILO,HI,2,545022,2012
UNIVERSITY OF HAWAII AT MANOA,HONOLULU,HI,81,50631920,2012
UNIVERSITY OF HOUSTON,HOUSTON,TX,57,15978803,2012
UNIVERSITY OF IDAHO,MOSCOW,ID,7,6663827,2012
UNIVERSITY OF ILLINOIS,CHICAGO,IL,3,246500,2012
UNIVERSITY OF ILLINOIS AT CHICAGO,CHICAGO,IL,333,129307552,2012
UNIVERSITY OF ILLINOIS URBANA-CHAMPAIGN,CHAMPAIGN,IL,199,71114790,2012
UNIVERSITY OF IOWA,IOWA CITY,IA,387,176582352,2012
UNIVERSITY OF KANSAS LAWRENCE,LAWRENCE,KS,85,37500074,2012
UNIVERSITY OF KANSAS MEDICAL CENTER,KANSAS CITY,KS,136,52043624,2012
UNIVERSITY OF KENTUCKY,LEXINGTON,KY,243,85276152,2012
UNIVERSITY OF LOUISIANA AT LAFAYETTE,LAFAYETTE,LA,2,1970348,2012
UNIVERSITY OF LOUISIANA AT MONROE,MONROE,LA,1,180250,2012
UNIVERSITY OF LOUISVILLE,LOUISVILLE,KY,124,50508359,2012
UNIVERSITY OF MAINE ORONO,ORONO,ME,3,1228926,2012
UNIVERSITY OF MARYLAND BALT CO CAMPUS,BALTIMORE,MD,25,8406801,2012
UNIVERSITY OF MARYLAND BALTIMORE,BALTIMORE,MD,404,185133103,2012
UNIVERSITY OF MARYLAND COLLEGE PK CAMPUS,COLLEGE PARK,MD,144,38201955,2012
UNIVERSITY OF MARYLAND EASTERN SHORE,PRINCESS ANNE,MD,3,903416,2012
UNIVERSITY OF MASSACHUSETTS AMHERST,AMHERST,MA,64,19411887,2012
UNIVERSITY OF MASSACHUSETTS BOSTON,BOSTON,MA,11,3601057,2012
UNIVERSITY OF MASSACHUSETTS LOWELL,LOWELL,MA,7,2765475,2012
UNIVERSITY OF MEMPHIS,MEMPHIS,TN,6,2385318,2012
UNIVERSITY OF MIAMI CORAL GABLES,CORAL GABLES,FL,23,6375978,2012
UNIVERSITY OF MIAMI ROSENTEIL SCHOOL,MIAMI,FL,1,522554,2012
UNIVERSITY OF MIAMI SCHOOL OF MEDICINE,MIAMI,FL,289,123194641,2012
UNIVERSITY OF MICHIGAN AT ANN ARBOR,ANN ARBOR,MI,1108,458491303,2012
UNIVERSITY OF MINNESOTA,MINNEAPOLIS,MN,9,13568560,2012
UNIVERSITY OF MINNESOTA DULUTH,DULUTH,MN,3,1074068,2012
UNIVERSITY OF MINNESOTA TWIN CITIES,MINNEAPOLIS,MN,610,243472794,2012
UNIVERSITY OF MISSISSIPPI,UNIVERSITY,MS,10,4659554,2012
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,JACKSON,MS,48,19320795,2012
University of Missouri,COLUMBIA,MO,1,215253,2012
UNIVERSITY OF MISSOURI KANSAS CITY,KANSAS CITY,MO,30,9218431,2012
UNIVERSITY OF MISSOURI-COLUMBIA,COLUMBIA,MO,115,39626066,2012
UNIVERSITY OF MISSOURI-ST. LOUIS,SAINT LOUIS,MO,7,1760177,2012
UNIVERSITY OF MONTANA,MISSOULA,MT,21,7608127,2012
UNIVERSITY OF NEBRASKA LINCOLN,LINCOLN,NE,35,12122238,2012
UNIVERSITY OF NEBRASKA MEDICAL CENTER,OMAHA,NE,135,61748438,2012
UNIVERSITY OF NEBRASKA OMAHA,OMAHA,NE,1,190824,2012
UNIVERSITY OF NEVADA LAS VEGAS,LAS VEGAS,NV,6,1519489,2012
UNIVERSITY OF NEVADA RENO,RENO,NV,35,18704089,2012
UNIVERSITY OF NEW ENGLAND,BIDDEFORD,ME,4,3302372,2012
UNIVERSITY OF NEW HAMPSHIRE,DURHAM,NH,5,1532305,2012
UNIVERSITY OF NEW MEXICO,ALBUQUERQUE,NM,72,32619249,2012
UNIVERSITY OF NEW MEXICO HEALTH SCIS CTR,ALBUQUERQUE,NM,73,28256751,2012
UNIVERSITY OF NORTH CAROLINA AT PEMBROKE,PEMBROKE,NC,1,261284,2012
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL,CHAPEL HILL,NC,878,377641180,2012
UNIVERSITY OF NORTH CAROLINA CHARLOTTE,CHARLOTTE,NC,7,2545909,2012
UNIVERSITY OF NORTH CAROLINA GREENSBORO,GREENSBORO,NC,19,7447734,2012
UNIVERSITY OF NORTH CAROLINA WILMINGTON,WILMINGTON,NC,4,956532,2012
UNIVERSITY OF NORTH DAKOTA,GRAND FORKS,ND,19,7948730,2012
UNIVERSITY OF NORTH TEXAS,DENTON,TX,1,578653,2012
UNIVERSITY OF NORTH TEXAS HLTH SCI CTR,FORT WORTH,TX,36,13991111,2012
UNIVERSITY OF NOTRE DAME,NOTRE DAME,IN,47,16143876,2012
UNIVERSITY OF OKLAHOMA HLTH SCIENCES CTR,OKLAHOMA CITY,OK,98,40668458,2012
UNIVERSITY OF OKLAHOMA NORMAN,NORMAN,OK,21,6961051,2012
UNIVERSITY OF OREGON,EUGENE,OR,73,29128427,2012
UNIVERSITY OF PENNSYLVANIA,PHILADELPHIA,PA,1113,457486100,2012
UNIVERSITY OF PITTSBURGH AT PITTSBURGH,PITTSBURGH,PA,1048,430027932,2012
UNIVERSITY OF PR CAYEY UNIVERSITY COLL,CAYEY,PR,2,1012962,2012
UNIVERSITY OF PUERTO RICO,SAN JUAN,PR,1,3511672,2012
UNIVERSITY OF PUERTO RICO AT HUMACAO,HUMACAO,PR,3,825150,2012
UNIVERSITY OF PUERTO RICO MAYAGUEZ,MAYAGUEZ,PR,4,1952854,2012
UNIVERSITY OF PUERTO RICO MED SCIENCES,SAN JUAN,PR,41,26440318,2012
UNIVERSITY OF PUERTO RICO PONCE,PONCE,PR,1,530389,2012
UNIVERSITY OF PUERTO RICO RIO PIEDRAS,SAN JUAN,PR,14,5496059,2012
UNIVERSITY OF RHODE ISLAND,KINGSTON,RI,22,14298478,2012
UNIVERSITY OF RICHMOND,RICHMOND,VA,3,804006,2012
UNIVERSITY OF ROCHESTER,ROCHESTER,NY,409,164396012,2012
UNIVERSITY OF SAN DIEGO,SAN DIEGO,CA,1,565675,2012
UNIVERSITY OF SAN FRANCISCO,SAN FRANCISCO,CA,2,376615,2012
UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL,35,11915863,2012
UNIVERSITY OF SOUTH CAROLINA AT COLUMBIA,COLUMBIA,SC,89,30999155,2012
UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SD,17,8358152,2012
UNIVERSITY OF SOUTH FLORIDA,TAMPA,FL,87,74709031,2012
UNIVERSITY OF SOUTHERN CALIFORNIA,LOS ANGELES,CA,376,194330266,2012
UNIVERSITY OF SOUTHERN MAINE,PORTLAND,ME,3,1006872,2012
UNIVERSITY OF SOUTHERN MISSISSIPPI,HATTIESBURG,MS,3,3974472,2012
UNIVERSITY OF TENNESSEE HEALTH SCI CTR,MEMPHIS,TN,102,33095786,2012
UNIVERSITY OF TENNESSEE KNOXVILLE,KNOXVILLE,TN,20,5436852,2012
UNIVERSITY OF TEXAS ARLINGTON,ARLINGTON,TX,13,3724327,2012
UNIVERSITY OF TEXAS AUSTIN,AUSTIN,TX,214,56989850,2012
UNIVERSITY OF TEXAS DALLAS,RICHARDSON,TX,23,6514456,2012
UNIVERSITY OF TEXAS EL PASO,EL PASO,TX,23,10836832,2012
UNIVERSITY OF TEXAS HLTH CTR AT TYLER,TYLER,TX,12,3304219,2012
UNIVERSITY OF TEXAS HLTH SCI CTR HOUSTON,HOUSTON,TX,196,80500616,2012
UNIVERSITY OF TEXAS HLTH SCI CTR SAN ANT,SAN ANTONIO,TX,207,69267157,2012
UNIVERSITY OF TEXAS MD ANDERSON CAN CTR,HOUSTON,TX,316,155182084,2012
UNIVERSITY OF TEXAS MEDICAL BR GALVESTON,GALVESTON,TX,166,84587605,2012
UNIVERSITY OF TEXAS SAN ANTONIO,SAN ANTONIO,TX,38,13039202,2012
UNIVERSITY OF TEXAS SW MED CTR/DALLAS,DALLAS,TX,454,165165048,2012
UNIVERSITY OF TEXAS TYLER,TYLER,TX,1,384728,2012
UNIVERSITY OF TEXAS-PAN AMERICAN,EDINBURG,TX,2,360692,2012
UNIVERSITY OF THE DISTRICT OF COLUMBIA,WASHINGTON,DC,6,1611562,2012
UNIVERSITY OF THE INCARNATE WORD,SAN ANTONIO,TX,1,125356,2012
UNIVERSITY OF THE SCIENCES PHILADELPHIA,PHILADELPHIA,PA,1,323270,2012
UNIVERSITY OF THE VIRGIN ISLANDS,ST. THOMAS,VI,4,1829892,2012
UNIVERSITY OF TOLEDO,TOLEDO,OH,8,2545364,2012
UNIVERSITY OF TOLEDO HEALTH SCI CAMPUS,TOLEDO,OH,31,11837471,2012
UNIVERSITY OF UTAH,SALT LAKE CITY,UT,381,150853742,2012
UNIVERSITY OF VERMONT & ST AGRIC COLLEGE,BURLINGTON,VT,114,47195616,2012
UNIVERSITY OF VIRGINIA CHARLOTTESVILLE,CHARLOTTESVILLE,VA,321,120410783,2012
UNIVERSITY OF WASHINGTON,SEATTLE,WA,954,458666336,2012
UNIVERSITY OF WESTERN STATES,PORTLAND,OR,2,906255,2012
UNIVERSITY OF WISCONSIN LA CROSSE,LA CROSSE,WI,1,303726,2012
UNIVERSITY OF WISCONSIN MADISON,MADISON,WI,602,229863895,2012
UNIVERSITY OF WISCONSIN MILWAUKEE,MILWAUKEE,WI,29,9064058,2012
UNIVERSITY OF WISCONSIN-MADISON,MADISON,WI,5,2471611,2012
UNIVERSITY OF WYOMING,LARAMIE,WY,12,7157999,2012
"UPSTAIRS SOLUTIONS, LLC",SKOKIE,IL,1,435960,2012
UPSTATE MEDICAL UNIVERSITY,SYRACUSE,NY,58,17891390,2012
"US WORLDMEDS, LLC",LOUISVILLE,KY,3,7427397,2012
UTAH STATE UNIVERSITY,LOGAN,UT,15,5442170,2012
"UT-BATTELLE, LLC-OAK RIDGE NATIONAL LAB",OAK RIDGE,TN,2,731319,2012
UTILITY WORKERS UNION OF AMERICA,WASHINGTON,DC,1,407495,2012
VACCINE RESEARCH INSTITUTE OF SAN DIEGO,SAN DIEGO,CA,1,639675,2012
"VADOVATIONS, INC.",OKLAHOMA CITY,OK,1,260576,2012
"VALA SCIENCES, INC.",SAN DIEGO,CA,3,1573603,2012
VALDEZ AND ASSOCIATES,MOUNTAIN VIEW,CA,1,500000,2012
"VALENCELL, INC.",RALEIGH,NC,1,621965,2012
"VALITOR, INC.",MORAGA,CA,1,311158,2012
"VALVEXCHANGE, INC.",Greenwood Village,CO,1,1077042,2012
VAN ANDEL RESEARCH INSTITUTE,GRAND RAPIDS,MI,9,2775289,2012
VANDERBILT UNIVERSITY,NASHVILLE,TN,791,319977234,2012
VANDERBILT UNIVERSITY MED CTR,NASHVILLE,TN,8,9065836,2012
"VASADE BIOSCIENCES, INC.",North Brunswick,NJ,2,373599,2012
VASCULAR PHARMACEUTICALS,BURLINGTON,NC,1,172913,2012
"VASCULOX, INC.",SAINT LOUIS,MO,1,706733,2012
"VASGENE THERAPEUTICS, INC",LOS ANGELES,CA,2,262085,2012
VAXIN INC.,Gaithersburg,MD,1,110701,2012
"VENATORX PHARMACEUTICALS, INC.",EXTON,PA,4,2252378,2012
VENTRIA BIOSCIENCE,FORT COLLINS,CO,4,1599297,2012
"VERACHEM, LLC",GERMANTOWN,MD,1,693998,2012
"VERITAS HEALTH SOLUTIONS, LLC",Wayland,MA,1,395723,2012
"VESTAN, INC.",SALT LAKE CITY,UT,1,995474,2012
VETERANS BIOMEDICAL RESEARCH INSTITUTE,EAST ORANGE,NJ,4,1189242,2012
VETERANS MEDICAL RESEARCH FDN/SAN DIEGO,SAN DIEGO,CA,20,6476259,2012
VGTI FLORIDA,PORT SAINT LUCIE,FL,2,1076494,2012
VIA CHRISTI REGIONAL MEDICAL CENTER,WICHITA,KS,1,2077111,2012
"VIAMET PHARMACEUTICALS, INC.",Morrisville,NC,1,130000,2012
"VIDA DIAGNOSTICS, INC.",Coralville,IA,1,263879,2012
"VIDASYM, INC.",LIBERTYVILLE,IL,2,377001,2012
"VIDATAK, LLC",LOS ANGELES,CA,1,41576,2012
"VIEWPLUS TECHNOLOGIES, INC.",CORVALLIS,OR,1,404485,2012
"VIGNET, INC.",MCLEAN,VA,1,195179,2012
"VINDICO NANOBIOTECHNOLOGY, INC.",LEXINGTON,KY,1,300000,2012
"VIOCARE, INC.",PRINCETON,NJ,2,1200000,2012
"VIRAL GENOMIX, INC.",BLUE BELL,PA,1,2529017,2012
VIRGIN INSTRUMENTS CORPORATION,SUDBURY,MA,2,305001,2012
VIRGINIA COMMONWEALTH UNIVERSITY,RICHMOND,VA,231,79783532,2012
VIRGINIA INSTITUTE OF MARINE SCIENCE,GLOUCESTER POINT,VA,1,276184,2012
VIRGINIA POLYTECHNIC INST AND ST UNIV,BLACKSBURG,VA,68,22652612,2012
"VIRGINIA TECHNOLOGIES, INC.",CHARLOTTESVILLE,VA,1,343588,2012
"VIROGENICS, INC.",DEL MAR,CA,1,699475,2012
"VIROGENOMICS, INC.",TIGARD,OR,2,963111,2012
"VIRONIKA, LLC",Philadelphia,PA,1,245577,2012
VIRTICI,SEATTLE,WA,2,989934,2012
"VIRTUAL PHANTOMS, INC.",ALBANY,NY,1,413215,2012
"VIRTUAL REALITY AIDS, INC.",SAINT AUGUSTINE,FL,1,447062,2012
"VIRTUALLY BETTER, INC.",DECATUR,GA,3,823486,2012
"VISIONQUEST BIOMEDICAL, LLC",ALBUQUERQUE,NM,4,1842975,2012
VISITING NURSE SERVICE OF NEW YORK,NEW YORK,NY,1,130340,2012
"VISTA ENGINEERING, INC.",BIRMINGHAM,AL,1,311381,2012
"VITAL ART AND SCIENCE, INC.",Richardson,TX,1,456066,2012
"VITATEX, INC.",STONY BROOK,NY,1,703024,2012
"VITI, INC.",PORTLAND,OR,1,157212,2012
"VIVAQUANT, LLC",SAINT PAUL,MN,1,196613,2012
"VIVO BIOSCIENCES, INC.",BIRMINGHAM,AL,1,441820,2012
"VLP BIOTECH, INC.",SAN DIEGO,CA,1,926325,2012
"VM DISCOVERY, INC.",FREMONT,CA,1,473919,2012
VTT/MSI MOLECULAR SCIENCES INSTITUTE,BERKELEY,CA,1,564195,2012
WADSWORTH CENTER,MENANDS,NY,41,15399050,2012
WAKE FOREST UNIVERSITY,WINSTON-SALEM,NC,8,4596740,2012
WAKE FOREST UNIVERSITY HEALTH SCIENCES,WINSTON-SALEM,NC,242,94426732,2012
WARREN CANCER RESEARCH FOUNDATION,TULSA,OK,1,273114,2012
WARREN STRESS MANAGEMENT,West Cornwall,CT,2,368424,2012
WASATCH MICROFLUIDICS,SALT LAKE CITY,UT,2,705005,2012
WASHINGTON STATE UNIVERSITY,PULLMAN,WA,65,19027984,2012
WASHINGTON UNIVERSITY,SAINT LOUIS,MO,825,381462271,2012
"WAVE 80 BIOSCIENCES, INC.",SAN FRANCISCO,CA,2,600000,2012
WAYNE STATE UNIVERSITY,DETROIT,MI,200,71612238,2012
WEBSCIENCES INTERNATIONAL,LOS ANGELES,CA,2,540456,2012
WEILL MEDICAL COLLEGE OF CORNELL UNIV,NEW YORK,NY,269,118489552,2012
"WEINBERG MEDICAL PHYSICS, LLC",BETHESDA,MD,3,1902703,2012
WEIS CENTER FOR RESEARCH-GEISINGER CLINC,DANVILLE,PA,14,5279822,2012
WELLESLEY COLLEGE,WELLESLEY,MA,3,874217,2012
WESLEYAN UNIVERSITY,MIDDLETOWN,CT,6,2009242,2012
WEST CHESTER UNIVERSITY OF PENNSYLVANIA,WEST CHESTER,PA,1,129109,2012
WEST LIBERTY UNIVERSITY,WEST LIBERTY,WV,1,157920,2012
WEST MICHIGAN CANCER CENTER,KALAMAZOO,MI,1,524412,2012
WEST VIRGINIA UNIVERSITY,MORGANTOWN,WV,45,32768472,2012
"WESTAT, INC.",ROCKVILLE,MD,22,99713393,2012
WESTERN INTERSTATE COMMISSION HIGHER ED,BOULDER,CO,1,298449,2012
WESTERN MICHIGAN UNIVERSITY,KALAMAZOO,MI,2,601910,2012
"WESTERN RESEARCH COMPANY, INC.",TUCSON,AZ,1,196445,2012
WESTERN UNIVERSITY OF HEALTH SCIENCES,POMONA,CA,2,621670,2012
WESTERN WASHINGTON UNIVERSITY,BELLINGHAM,WA,4,614441,2012
"WHITE POINT SYSTEMS, INC.",FRIDAY HARBOR,WA,1,423153,2012
WHITEHEAD INSTITUTE FOR BIOMEDICAL RES,CAMBRIDGE,MA,48,19384326,2012
WHITTEMORE PETERSON INSTITUTE,Reno,NV,1,302866,2012
WHITTIER COLLEGE,WHITTIER,CA,1,89643,2012
"WIBI WORKS, LLC",NEW ORLEANS,LA,1,352102,2012
WICHITA STATE UNIVERSITY,WICHITA,KS,1,1233584,2012
WILLIAM BEAUMONT HOSPITAL RESEARCH INST,ROYAL OAK,MI,5,1341459,2012
WILLIAM PATERSON UNIVERSITY,WAYNE,NJ,1,351841,2012
WILSON INFORMATION SERVICES CORPORATION,NEW MARKET,MD,1,2934898,2012
WILSON WOLF MANUFACTURING CORPORATION,NEW BRIGHTON,MN,1,15918,2012
WINIFRED MASTERSON BURKE MED RES INST,WHITE PLAINS,NY,13,6289025,2012
WINPROBE CORPORATION,NORTH PALM BEACH,FL,2,470515,2012
"WINSTON PHARMACEUTICALS, INC.",VERNON HILLS,IL,1,158454,2012
WINSTON-SALEM STATE UNIVERSITY,WINSTON-SALEM,NC,2,236610,2012
WINTHROP-UNIVERSITY HOSPITAL,MINEOLA,NY,4,1129350,2012
WISDOM TOOLS,BLOOMINGTON,IN,1,200000,2012
WISTAR INSTITUTE,PHILADELPHIA,PA,52,26751730,2012
WOFFORD COLLEGE,SPARTANBURG,SC,1,395468,2012
WOMEN AND INFANTS HOSPITAL-RHODE ISLAND,PROVIDENCE,RI,21,8252782,2012
WOODS HOLE OCEANOGRAPHIC INSTITUTION,WOODS HOLE,MA,4,1195299,2012
"WOOMERA THERAPEUTICS, INC.",LEBANON,NH,1,491150,2012
WORCESTER POLYTECHNIC INSTITUTE,WORCESTER,MA,1,335971,2012
"WORKBOOK PUBLISHING, INC.",ARDMORE,PA,1,245543,2012
WOWIWE INSTRUCTION COMPANY,FARGO,ND,1,533105,2012
WRIGHT STATE UNIVERSITY,DAYTON,OH,18,6712078,2012
"W-Z BIOTECH, LLC",LEXINGTON,KY,1,155754,2012
"XACTAGEN, LLC.",SHORELINE,WA,1,223352,2012
"XALUD THERAPEUTICS, INC.",SAN FRANCISCO,CA,1,996485,2012
XAVIER UNIVERSITY OF LOUISIANA,NEW ORLEANS,LA,9,3257207,2012
"XEMED, LLC",DURHAM,NH,4,1716884,2012
"XEN BIOFLUIDX, INC.",LA JOLLA,CA,1,336569,2012
"XENOTECH, LLC",LENEXA,KS,1,70653,2012
"XERIS PHARMACEUTICALS, INC.",Austin,TX,2,919615,2012
"XHALE, INC.",GAINESVILLE,FL,2,324304,2012
"XIGEN, LLC",ROCKVILLE,MD,3,695150,2012
"XIMEREX, INC.",OMAHA,NE,1,1000000,2012
"XL SCI-TECH, INC.",RICHLAND,WA,1,191356,2012
"XORAN TECHNOLOGIES, INC.",ANN ARBOR,MI,1,738678,2012
"X-RAY OPTICAL SYSTEMS, INC.",EAST GREENBUSH,NY,1,488454,2012
"XYKEN, LLC",VIENNA,VA,1,704642,2012
YALE UNIVERSITY,NEW HAVEN,CT,935,371068330,2012
"YANTRIC, INC.",WEST NEWTON,MA,1,99868,2012
YECURIS CORPORATION,PORTLAND,OR,3,683951,2012
YESHIVA UNIVERSITY,NEW YORK,NY,5,1370397,2012
YORK COLLEGE,JAMAICA,NY,7,926308,2012
YUMA THERAPEUTICS CORPORATION,Cambridge,MA,1,200752,2012
"ZACHARON PHARMACEUTICALS, INC.",San Diego,CA,3,1631756,2012
"ZENALUX BIOMEDICAL, INC.",DURHAM,NC,1,244210,2012
"ZEN-BIO, INC.",RTP,NC,1,462386,2012
"ZNETICS, LLC",PHILADELPHIA,PA,1,262165,2012
"ZONEONE PHARMA, INC.",SAN FRANCISCO,CA,1,215999,2012
"ZUCHEM, INC.",CHICAGO,IL,1,152732,2012
"ZYDOC MEDICAL TRANSCRIPTION, LLC",HAUPPAUGE,NY,1,150000,2012
"ZYMERA, INC.",SAN JOSE,CA,1,997365,2012
"13THERAPEUTICS, INC.",PORTLAND,OR,1,999411,2013
"21ST CENTURY THERAPEUTICS, INC.",FERNDALE,MI,1,276418,2013
"23ANDME, INC.",MOUNTAIN VIEW,CA,1,805975,2013
"360FRESH, INC.",PALO ALTO,CA,1,499892,2013
3-C INSTITUTE FOR SOCIAL DEVELOPMENT,CARY,NC,6,2167342,2013
"3D BIOMATRIX, INC.",Ann Arbor,MI,1,34628,2013
3D MOLECULAR DESIGNS,MILWAUKEE,WI,1,200542,2013
"3DMD, LLC",ATLANTA,GA,1,318425,2013
"3DT HOLDINGS, LLC",INDIANAPOLIS,IN,3,665248,2013
"3P BIOTECHNOLOGIES, INC.",PROSPECT,KY,1,45061,2013
"480 BIOMEDICAL, INC.",WATERTOWN,MA,1,200000,2013
"490 BIOTECH, INC.",KNOXVILLE,TN,1,138191,2013
"A AND G PHARMACEUTICAL, INC.",COLUMBIA,MD,2,269565,2013
A.T. STILL UNIVERSITY OF HEALTH SCIENCES,KIRKSVILLE,MO,1,208462,2013
"AADI, LLC",PACIFIC PALISADES,CA,1,168928,2013
"AARDEN PHARMACEUTICALS, INC.",INDIANAPOLIS,IN,1,249269,2013
AARON DIAMOND AIDS RESEARCH CENTER,NEW YORK,NY,12,7520435,2013
ABEOME CORPORATION,ATHENS,GA,1,275916,2013
"ABLELINK TECHNOLOGIES, INC.",COLORADO SPRINGS,CO,3,916722,2013
"AC DIAGNOSTICS, INC.",FAYETTEVILLE,AR,1,299995,2013
ACADEMIC PEDIATRIC ASSOCIATION,MC LEAN,VA,1,142928,2013
ACCEL DIAGNOSTICS,PITTSBURGH,PA,1,168846,2013
"ACCELEREYES, LLC",ATLANTA,GA,1,499601,2013
"ACCENTS ON HEALTH, INC.",SAN DIEGO,CA,1,474162,2013
"ACCESSIBLE DESIGNS, INC.",SAN ANTONIO,TX,1,477689,2013
"ACETAMINOPHEN TOXICITY DIAGNOSTICS, LLC",LITTLE ROCK,AR,1,568564,2013
"ACETYLON PHARMACEUTICALS, INC.",BOSTON,MA,1,367972,2013
"ACIONT, INC.",SALT LAKE CITY,UT,1,1073868,2013
"ACKCO, INC.",PHOENIX,AZ,1,547852,2013
"ACLARIS MEDICAL, LLC",FALCON HEIGHTS,MN,1,350000,2013
"ACOUSTIC MEDSYSTEMS, INC.",Savoy,IL,1,177408,2013
"ACPHARIS, INC.",HOLLISTON,MA,1,149999,2013
"ACTINOBAC BIOMED, INC.",NORTH BRUNSWICK,NJ,1,108255,2013
"ACTIVESITE PHARMACEUTICALS, INC.",BERKELEY,CA,1,699825,2013
"ACTUATED MEDICAL, INC.",BELLEFONTE,PA,5,3541051,2013
ACUITYBIO CORPORATION,NEWTON,MA,1,235568,2013
"ACUMEN, LLC",BURLINGAME,CA,3,485700,2013
"ADAMAS PHARMACEUTICALS, INC.",EMERYVILLE,CA,1,128625,2013
ADAPTIVE TCR CORPORATION,SEATTLE,WA,3,1382589,2013
"ADARZA BIOSYSTEMS, INC.",WEST HENRIETTA,NY,1,245912,2013
"ADDIS, INC.",CAMP SPRINGS,MD,1,818530,2013
ADELPHI UNIVERSITY,GARDEN CITY,NY,1,171716,2013
ADEPTRIX CORPORATION,BOSTON,MA,1,349034,2013
"ADHAERE PHARMACEUTICALS, INC.",MIAMI,FL,1,300000,2013
"ADHEREN, INC.",BERKELEY,CA,1,186751,2013
"ADP SILVER DENTAL ARREST, LLC",REDMOND,OR,1,117198,2013
ADVAITA CORPORATION,Plymouth,MI,2,875897,2013
"ADVANCED BIODEVICES, LLC",PRINCETON,NJ,1,391356,2013
ADVANCED BIOMEDICAL INFORMATICS GROUP,IOWA CITY,IA,1,215228,2013
"ADVANCED BIOMEDICAL MACHINES, INC.",STONY BROOK,NY,1,191250,2013
"ADVANCED BIOSCIENCE LABORATORIES, INC.",KENSINGTON,MD,35,45679290,2013
"ADVANCED CIRCULATORY SYSTEMS, INC.",Roseville,MN,1,299599,2013
"ADVANCED DIAMOND TECHNOLOGIES, INC.",romeoville,IL,2,796047,2013
"ADVANCED GENETIC SYSTEMS, INC.",SAN FRANCISCO,CA,1,279588,2013
"ADVANCED GENOMIC TECHNOLOGY, LLC",LOUISVILLE,KY,1,199666,2013
"ADVANCED HEARING CONCEPTS, INC.",BODEGA BAY,CA,1,243595,2013
ADVANCED LIQUID LOGIC,RESEARCH TRIANGLE PARK,NC,6,2529543,2013
"ADVANCED MATERIALS TECHNOLOGY, INC.",WILMINGTON,DE,2,657113,2013
ADVANCED MEDICAL ELECTRONICS CORPORATION,MAPLE GROVE,MN,6,1495017,2013
"ADVANCED MRI TECHNOLOGY, LLC",SEBASTOPOL,CA,2,1232683,2013
"ADVANCED PLASMA PRODUCTS, INC.",Lenior City,TN,1,1111985,2013
ADVANCES IN MINERAL METABOLISM,ROCHESTER,MN,1,18000,2013
"ADVANTAGENE, INC",Auburndale,MA,1,1806651,2013
"ADVOCATES FOR HUMAN POTENTIAL, INC.",SUDBURY,MA,1,998276,2013
"AEON IMAGING, LLC",BLOOMINGTON,IN,2,981600,2013
"AEROSOL DYNAMICS, INC.",BERKELEY,CA,1,149758,2013
"AFASCI, INC.",REDWOOD CITY,CA,5,2052768,2013
"AFFINERGY, LLC",DURHAM,NC,4,3567504,2013
"AFFINITY THERAPEUTICS, LLC",Valley View,OH,1,199999,2013
"AFRAME DIGITAL, INC.",LOVETTSVILLE,VA,1,450815,2013
AG BELL ASSN FOR DEAF & HARD OF HEARING,WASHINGTON,DC,1,100,2013
AGAVE BIOSYSTEMS,AUSTIN,TX,1,150000,2013
"AGENEBIO, INC.",CARMEL,IN,1,400517,2013
"AGGAMIN PHARMACEUTICALS, LLC",NEW YORK,NY,1,245087,2013
"AGILE SCIENCES, INC.",RALEIGH,NC,2,799586,2013
"AGILTRON, INC.",WOBURN,MA,2,737258,2013
AGNES SCOTT COLLEGE,DECATUR,GA,1,309482,2013
"AGRI-ANALYSIS, LLC",WEST SACRAMENTO,CA,1,225000,2013
"AI CURE TECHNOLOGIES, LLC",New York,NY,2,1893309,2013
